"country","iso3c","total_obs","missing_obs","completeness_rate"
"Kuwait","KWT",519486,497473,4.2
"Mongolia","MNG",519486,497559,4.2
"Pakistan","PAK",519486,497901,4.2
"Syrian Arab Republic","SYR",519486,497755,4.2
"Thailand","THA",519486,497580,4.2
"Bahrain","BHR",519486,497375,4.3
"Belgium","BEL",519486,496992,4.3
"Cuba","CUB",519486,497220,4.3
"Egypt, Arab Rep.","EGY",519486,496950,4.3
"France","FRA",519486,497210,4.3
"Hong Kong SAR, China","HKG",519486,496960,4.3
"Iceland","ISL",519486,497342,4.3
"Israel","ISR",519486,497220,4.3
"Mozambique","MOZ",519486,497282,4.3
"Philippines","PHL",519486,497247,4.3
"Rwanda","RWA",519486,497101,4.3
"United Kingdom","GBR",519486,497217,4.3
"Guatemala","GTM",519486,496678,4.4
"Kazakhstan","KAZ",519486,496795,4.4
"Kyrgyz Republic","KGZ",519486,496883,4.4
"Latvia","LVA",519486,496664,4.4
"Malawi","MWI",519486,496773,4.4
"Austria","AUT",519486,495908,4.5
"Burundi","BDI",519486,496159,4.5
"Cote d'Ivoire","CIV",519486,496052,4.5
"Eswatini","SWZ",519486,496255,4.5
"Lithuania","LTU",519486,496221,4.5
"Mali","MLI",519486,496268,4.5
"Moldova","MDA",519486,496127,4.5
"Poland","POL",519486,495901,4.5
"Romania","ROU",519486,496131,4.5
"Slovak Republic","SVK",519486,496103,4.5
"Slovenia","SVN",519486,496249,4.5
"Switzerland","CHE",519486,496238,4.5
"Togo","TGO",519486,496108,4.5
"Tunisia","TUN",519486,496080,4.5
"Bangladesh","BGD",519486,495397,4.6
"Benin","BEN",519486,495566,4.6
"Cameroon","CMR",519486,495343,4.6
"Ghana","GHA",519486,495552,4.6
"Greece","GRC",519486,495426,4.6
"Ireland","IRL",519486,495472,4.6
"Netherlands","NLD",519486,495628,4.6
"Portugal","PRT",519486,495586,4.6
"Czechia","CZE",519486,495290,4.7
"Korea, Rep.","KOR",519486,494857,4.7
"Lao PDR","LAO",519486,494891,4.7
"Malta","MLT",519486,495004,4.7
"Niger","NER",519486,494875,4.7
"Qatar","QAT",519486,494976,4.7
"Senegal","SEN",519486,495019,4.7
"Bulgaria","BGR",519486,494641,4.8
"Denmark","DNK",519486,494773,4.8
"Finland","FIN",519486,494291,4.8
"Lesotho","LSO",519486,494399,4.8
"Morocco","MAR",519486,494732,4.8
"Cyprus","CYP",519486,494070,4.9
"Honduras","HND",519486,494042,4.9
"Indonesia","IDN",519486,493791,4.9
"Jordan","JOR",519486,494245,4.9
"Norway","NOR",519486,494285,4.9
"Turkiye","TUR",519486,493926,4.9
"Argentina","ARG",519486,493311,5
"Hungary","HUN",519486,493266,5
"Spain","ESP",519486,493716,5
"Sweden","SWE",519486,493695,5
"Italy","ITA",519486,493158,5.1
"Chile","CHL",519486,492103,5.3
"Bolivia","BOL",519486,490616,5.6
"Brazil","BRA",519486,490604,5.6
"Uruguay","URY",519486,489852,5.7
"Panama","PAN",519486,488617,5.9
"Paraguay","PRY",519486,488641,5.9
"Ecuador","ECU",519486,487806,6.1
"El Salvador","SLV",519486,487599,6.1
"Mexico","MEX",519486,487733,6.1
"Dominican Republic","DOM",519486,486463,6.4
"Colombia","COL",519486,484949,6.6
"Costa Rica","CRI",519486,484592,6.7
"Peru","PER",519486,484486,6.7
