"indicator","total_obs","missing_obs","completeness_rate"
"SH.STA.BRTC.ZS",17490,14344,18
"TM.TAX.MANF.BR.ZS",17490,14350,18
"TM.TAX.MRCH.BR.ZS",17490,14350,18
"TM.TAX.TCOM.BR.ZS",17490,14350,18
"DC.DAC.GRCL.CD",17490,14331,18.1
"DC.DAC.PRTL.CD",17490,14329,18.1
"GB.XPD.RSDV.GD.ZS",17490,14292,18.3
"IT.NET.SECR",17490,14287,18.3
"SE.PRM.PRS5.FE.ZS",17490,14282,18.3
"SE.PRM.PRS5.MA.ZS",17490,14283,18.3
"SE.XPD.PRIM.ZS",17490,14268,18.4
"NE.RSB.GNFS.KN",17490,14252,18.5
"SE.XPD.SECO.ZS",17490,14255,18.5
"TX.VAL.TECH.CD",17490,14263,18.5
"GC.REV.SOCL.CN",17490,14207,18.8
"SH.H2O.SMDW.UR.ZS",17490,14180,18.9
"GC.XPN.OTHR.CN",17490,14174,19
"TM.TAX.MANF.BC.ZS",17490,14170,19
"TM.TAX.MRCH.BC.ZS",17490,14170,19
"TM.TAX.TCOM.BC.ZS",17490,14170,19
"SE.SEC.UNER.LO.ZS",17490,14149,19.1
"ER.LND.PTLD.ZS",17490,14133,19.2
"ER.PTD.TOTL.ZS",17490,14133,19.2
"TX.VAL.TECH.MF.ZS",17490,14136,19.2
"NE.GDI.FPRV.ZS",17490,14103,19.4
"SH.MLR.INCD.P3",17490,14038,19.7
"MS.MIL.XPRT.KD",17490,14013,19.9
"SH.MED.NUMW.P3",17490,13944,20.3
"SM.POP.FDIP",17490,13941,20.3
"DT.NFL.PNGC.CD",17490,13877,20.7
"IC.BUS.NDNS.ZS",17490,13848,20.8
"SE.PRM.TENR.MA",17490,13827,20.9
"DT.NFL.DPNG.CD",17490,13842,20.9
"SE.PRM.TENR.FE",17490,13819,21
